"","Sample","Site","Year","Species_all","Species","Num","Length","Weight","l_As","l_Cd","l_Cu","l_Pb","l_Se","l_Zn","K","m_As","m_Cd","m_Cu","m_Pb","m_Se","m_Zn","g_As","g_Cd","g_Cu","g_Pb","g_Se","g_Zn","wb_As","wb_Cd","wb_Cu","wb_Pb","wb_Se","wb_Zn","d13C","d15N"
"72","DL21LL08","DL",2021,"LL","LL",8,183,72,1.528964862,1.182336182,434.7103514,0.375118708,8.290598291,166.8328585,1.17484135970265,1.609437047,0.005839757,1.271899089,0.014015417,1.334968465,25.13431441,0.861313869,0.430656934,9.430656934,0.255474453,8,133.4817518,NA,NA,NA,NA,NA,NA,-26.75,8.66
"73","DL21LL13","DL",2021,"LL","LL",13,436,717,1.053094233,5.170534459,4030.444796,0.48347398,13.83614627,193.7113221,0.865086805005911,0.613629801,0.001500744,0.99047069,0.012994513,0.929829627,15.10251227,1.011396011,0.192307692,6.933760684,2.792022792,1.848290598,353.9351852,NA,NA,NA,NA,NA,NA,NA,NA
"74","DL21LL14","DL",2021,"LL","LL",14,147,36,0.733652313,0.518341308,365.661882,0.28708134,6.275917065,197.3524721,1.13331463364188,0.443021767,0.008962868,1.66837388,0.019206146,1.241997439,38.56081946,2.743445693,0.280898876,22.58426966,3.174157303,3.286516854,455.4400749,NA,NA,NA,NA,NA,NA,-27.02,7.69
"75","DL21LNDC01","DL",2021,"LNDC","LNDC",1,69,NA,NA,NA,NA,NA,NA,NA,NA,0.563380282,0.112676056,6.507042254,0.051462382,1.211267606,80.30985915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.93,11.45
"76","DL21LNDC02","DL",2021,"LNDC","LNDC",2,61,NA,NA,NA,NA,NA,NA,NA,NA,0.420673077,0.036057692,4.663461538,0.043916215,0.733173077,102.1033654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.22,11.68
"77","DL21LNDC03","DL",2021,"LNDC","LNDC",3,61,NA,NA,NA,NA,NA,NA,NA,NA,0.273972603,0.119863014,4.674657534,0.062565567,1.455479452,92.82534247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.2,12.17
"78","DL21LNSU01","DL",2021,"LNSU","Suckers",1,44,1.15,NA,NA,NA,NA,NA,NA,1.35001878287002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.925564909,0.243686309,19.45945946,1.291537439,1.070004431,189.322109,-28.15,12.8
"79","DL21LNSU02","DL",2021,"LNSU","Suckers",2,38.5,0.4,NA,NA,NA,NA,NA,NA,0.700935091220131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.924092409,0.227722772,36.85808581,3.02970297,2.079207921,163.6072607,-28.61,12.43
"80","DL21LNSU03","DL",2021,"LNSU","Suckers",3,34.5,0.4,NA,NA,NA,NA,NA,NA,0.974098122121464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.39323843,0.444839858,42.8158363,3.358540925,2.081850534,213.838968,-27.35,12.69
"81","DL21LSSU01","DL",2021,"LSSU","Suckers",1,468,1056,NA,NA,NA,NA,NA,NA,1.03021141811411,0.226932668,0.011221945,1.340399002,0.02244389,0.598503741,28.51995012,0.589090909,0.083636364,5,0.694545455,0.858181818,74.46181818,NA,NA,NA,NA,NA,NA,-27.39,12.98
