Cap,Site,Year,Species,Tissue,Num,Sample.weight,Length,Weight,As,Cd,Cu,Pb,Se,Zn
346,BG,2021,LL,g,8,0.0288,150,35,1.805555556,0.3125,15.53819444,2.170138889,3.489583333,463.1597222
347,BG,2021,LL,m,8,0.1719,150,35,0.875509017,0.003023314,1.332169866,0.010627775,1.524141943,34.60442118
348,BG,2021,LL,m,7,0.3174,198,80,1.93131695,0.007876497,5.459987398,0.005755874,1.43194707,34.95116572
349,BG,2021,LL,l,7,0.1217,198,80,1.380443714,0.829909614,367.6663928,0.238290879,9.231717338,241.5036976
350,BG,2021,LL,g,7,0.0495,198,80,1.95959596,0.383838384,17.04040404,3,3.323232323,458.9292929
351,BG,2021,LSSU,m,14,0.2862,174,65,0.414046122,0.00873515,1.090146751,0.006383349,0.751222921,40.6219427
352,BG,2021,LNSU,g,3,0.0539,205,85,0.918367347,0.398886827,17.45825603,0.538033395,2.782931354,101.4749536
353,BG,2021,LNSU,m,3,0.365,205,85,0.468493151,0.010958904,0.976712329,0.005005245,0.623287671,19.40821918
354,BG,2021,RSSH,wb,1,0.0969,20,0.61,3.281733746,0.278637771,23.18369453,3.054695562,2.765737874,237.4871001
355,BG,2021,RSSH,wb,2,0.1529,20,0.79,2.253106606,0.353172008,20.77501635,2.697841727,2.943100065,229.8855461
356,BG,2021,RSSH,wb,3,0.0874,20,0.67,2.173913043,0.245995423,17.9805492,1.939359268,2.946224256,230.0629291
357,BG,2021,RSSH,wb,4,0.1033,20,0.57,1.766698935,0.387221684,18.08325266,1.665053243,2.666989351,225.5517909
358,BG,2021,RSSH,wb,5,0.0887,20,0.51,2.773393461,0.298759865,16.09921082,1.623449831,2.576099211,245.3945885
400,GC,2021,LL,l,4,0.1106,181,70,0.452079566,0.506329114,160.1582278,0.334538879,11.17088608,185.5153707
401,GC,2021,LL,g,4,0.0436,181,70,0.837155963,0.160550459,9.185779817,1.077981651,5.711009174,351.9724771
402,GC,2021,LL,g,3,0.0679,175,60,2.010309278,0.198821797,17.56995582,2.407952872,3.431516937,291.5095729
404,GC,2021,LL,l,3,0.0347,175,60,0.83573487,1.152737752,178.0835735,0.052648834,7.262247839,266.3256484
405,GC,2022,LL,g,8,0.0221,107,10,0.588235294,0.520361991,17.48868778,0.429864253,2.805429864,383.0995475
406,GC,2022,LL,m,11,0.3802,155,10,0.410310363,0.03945292,2.405312993,0.010520779,1.675433982,48.15491846
407,GC,2022,LL,m,12,0.322,124,5,0.330745342,0.100931677,3.251552795,0.052795031,1.161490683,60.38198758
408,BG,2021,MWF,g,2,0.1058,170,45,0.973534972,0.458412098,12.60869565,0.623818526,5.883742911,159.3809074
409,BG,2021,MWF,g,5,0.214,282,260,0.462616822,0.495327103,3.913551402,0.406542056,20.06542056,106.1845794
410,BG,2021,LSSU,m,4,0.3404,490,1345,0.465628672,0.00440658,1.498237368,0.016157462,0.586075206,37.79817861
411,BG,2021,LSSU,m,3,0.378,476,1170,0.547619048,0.014550265,1.092592593,0.004833107,0.871693122,21.3505291
412,BG,2021,LSSU,g,15,0.2154,534,1700,0.427112349,0.828690808,8.785979573,0.756731662,1.552924791,67.38857939
413,BG,2021,LSSU,m,15,0.3778,534,1700,0.005415806,0.001375616,0.058813046,0.004835666,0.011190666,0.424325982
414,BG,2021,MWF,m,15,0.3867,366,525,0.258598397,0.00646496,1.099043186,0.004724372,1.031807603,17.95448668
416,BG,2021,LNSU,m,2,0.3529,245,160,0.524227827,0.005667328,1.795126098,0.025502975,0.647492207,44.65712666
417,BG,2021,LNSU,g,3,0.1079,205,85,1.031047266,0.354494903,18.49629286,0.634847081,2.106116775,106.39481
418,GC,2021,MWF,m,9,0.2902,263,170,0.258442453,0.005168849,1.319779462,0.006295364,1.812543074,21.9279807
419,GC,2021,LL,m,1,0.2587,281,210,1.026285273,0.002008921,1.23308852,0.007061904,1.242752223,24.46463085
420,GC,2022,LL,g,12,0.0382,124,5,0.458115183,0.27486911,16.37434555,0.54973822,1.793193717,353.4424084
421,GC,2022,LL,g,11,0.0683,155,10,0.622254758,0.285505124,19.01171303,0.344070278,2.833089312,304.7071742
422,GC,2022,LL,m,14,0.4087,156,10,0.343772939,0.006116956,1.392219232,0.024467825,3.5894299,55.2654759
423,GC,2022,LL,m,9,0.4309,245,150,0.334184265,0.008122534,1.147598051,0.004239765,1.446971455,56.83337201
424,GC,2022,LL,g,9,0.1388,245,150,7.204610951,2.88184438,116.7146974,3.242074928,46.46974063,4088.256484
425,GC,2022,LL,m,8,0.1398,107,10,0.429184549,0.107296137,4.885550787,0.032188841,1.824034335,82.9434907
426,GC,2021,MWF,M,11,0.3183,252,165,0.27332705,0.00628338,1.201696513,0.0057396,1.698083569,18.25007854
427,GC,2021,LL,m,1,0.4183,281,210,0.211570643,0.003585943,1.011235955,0.004367474,0.937126464,15.68371982
428,BG,2021,LNSU,m,1,0.3275,229,115,0.322137405,0.030534351,3.103816794,0.005578365,1.132824427,55.1221374
429,BG,2021,MWF,m,5,0.3416,282,260,0.180035129,0.004391101,1.466627635,0.00534811,1.285128806,18.27283372
430,BG,2021,LL,m,6,0.2805,287,255,0.484848485,0.002673797,1.06684492,0.005347594,0.930481283,17.42067736
431,BG,2021,mwf,m,2,0.2066,170,45,0.542110358,0.036302033,2.320909971,0.104065828,1.957889642,36.08422072
432,BG,2021,MWF,m,4,0.2966,385,660,0.310182063,0.015171949,0.977747808,0.015171949,0.982805125,21.56608227
433,BG,2021,MWF,g,15,0.1249,366,525,0.67253803,0.384307446,3.57886309,0.648518815,8.923138511,89.91192954
434,BG,2021,LL,m,4,0.2944,310,325,0.409307065,0.005095109,1.122622283,0.006205552,0.835597826,20.1002038
435,BG,2021,LL,l,1,0.1206,235,155,6.218905473,19.90049751,9418.739635,2.072968491,142.6202322,1956.467662
436,BG,2021,LSSU,g,8,0.4101,478,1195,0.635210924,0.147524994,8.966105828,0.748597903,1.976347232,86.47524994
437,BG,2021,lssu,m,8,0.3942,478,1195,0.192795535,0.005073567,1.003297818,0.02283105,0.774987316,26.01471334
438,BG,2021,LNSU,g,2,0.0527,245,160,1.612903226,0.483870968,17.78937381,1.375711575,2.409867173,135
439,GC,2021,MWF,l,11,0.0937,252,165,0.474919957,0.581643543,13.9167556,0.112059765,19.92529349,114.3916756
440,GC,2021,MWF,m,10,0.3524,258,185,0.225595914,0.011350738,1.340805902,0.005184207,0.908059024,20.55902384
441,GC,2021,LL,g,14,0.1156,423,625,1.064013841,0.419550173,9.597750865,2.102076125,3.066608997,247.9714533
442,GC,2021,MWF,g,1,0.0748,307,325,0.447860963,0.381016043,3.75,0.655080214,10.20721925,114.8796791
443,GC,2021,MWF,m,14,0.2941,390,715,0.198911935,0.011900714,1.171370282,0.015300918,0.878952737,13.53621217
447,GC,2021,LL,l,14,0.0831,423,625,10.83032491,36.70276775,35770.75812,3.610108303,268.3513839,3983.754513
