Site,Year,Species,Tissue,Num,Cap,Sample wt,Length,Weight,As,Cd,Cu,Pb,Se,Zn
BG,2021,LL,m,8,347,0.1719,150,35,0.301,0.001039416,0.458,0.003653829,0.524,11.897
BG,2021,LL,m,7,348,0.3174,198,80,1.226,0.005,3.466,0.003653829,0.909,22.187
BG,2021,LL,l,7,349,0.1217,198,80,0.336,0.202,89.49,0.058,2.247,58.782
BG,2021,LL,g,7,350,0.0495,198,80,0.194,0.038,1.687,0.297,0.329,45.434
BG,2021,LSSU,m,14,351,0.2862,174,65,0.237,0.005,0.624,0.003653829,0.43,23.252
BG,2021,LNSU,g,3,352,0.0539,205,85,0.099,0.043,1.882,0.058,0.3,10.939
BG,2021,LNSU,m,3,353,0.365,205,85,0.342,0.008,0.713,0.003653829,0.455,14.168
BG,2021,RSSH,wb,1,354,0.0969,20,0.61,0.636,0.054,4.493,0.592,0.536,46.025
BG,2021,RSSH,wb,2,355,0.1529,20,0.79,0.689,0.108,6.353,0.825,0.9,70.299
BG,2021,RSSH,wb,3,356,0.0874,20,0.67,0.38,0.043,3.143,0.339,0.515,40.215
BG,2021,RSSH,wb,4,357,0.1033,20,0.57,0.365,0.08,3.736,0.344,0.551,46.599
BG,2021,RSSH,wb,5,358,0.0887,20,0.51,0.492,0.053,2.856,0.288,0.457,43.533
GC,2021,LL,l,4,400,0.1106,181,70,0.1,0.112,35.427,0.074,2.471,41.036
GC,2021,LL,g,4,401,0.0436,181,70,0.073,0.014,0.801,0.094,0.498,30.692
GC,2021,LL,g,3,402,0.0679,175,60,0.273,0.027,2.386,0.327,0.466,39.587
GC,2021,LL,l,3,404,0.0347,175,60,0.058,0.08,12.359,0.003653829,0.504,18.483
GC,2022,LL,g,8,405,0.0221,218,105,0.026,0.023,0.773,0.019,0.124,16.933
GC,2022,LL,m,11,406,0.3802,377,525,0.312,0.03,1.829,0.008,1.274,36.617
GC,2022,LL,m,12,407,0.322,190,70,0.213,0.065,2.094,0.034,0.748,38.886
BG,2021,MWF,g,2,408,0.1058,170,45,0.206,0.097,2.668,0.132,1.245,33.725
BG,2021,MWF,g,5,409,0.214,282,260,0.198,0.212,1.675,0.174,8.588,45.447
BG,2021,LSSU,m,4,410,0.3404,490,1345,0.317,0.003,1.02,0.011,0.399,25.733
BG,2021,LSSU,m,3,411,0.378,476,1170,0.414,0.011,0.826,0.003653829,0.659,16.141
BG,2021,LSSU,g,15,412,0.2154,534,1700,0.184,0.357,3.785,0.326,0.669,29.031
BG,2021,LSSU,m,15,413,0.3778,534,1700,0.004092183,0.001039416,0.044439138,0.003653829,0.008455667,0.320620712
BG,2021,MWF,m,15,414,0.3867,534,1700,0.2,0.005,0.85,0.003653829,0.798,13.886
BG,2021,LNSU,m,2,416,0.3529,245,160,0.37,0.004,1.267,0.018,0.457,31.519
BG,2021,LNSU,g,3,417,0.1079,205,85,0.2225,0.0765,3.9915,0.137,0.4545,22.96
GC,2021,MWF,m,9,418,0.2902,263,170,0.15,0.003,0.766,0.003653829,1.052,12.727
GC,2021,LL,m,1,419,0.2587,281,210,0.531,0.001039416,0.638,0.003653829,0.643,12.658
GC,2022,LL,g,12,420,0.0382,124,5,0.035,0.021,1.251,0.042,0.137,27.003
GC,2022,LL,g,11,421,0.0683,155,10,0.085,0.039,2.597,0.047,0.387,41.623
GC,2022,LL,m,14,422,0.4087,156,10,0.281,0.005,1.138,0.02,2.934,45.174
GC,2022,LL,m,9,423,0.4309,245,150,0.288,0.007,0.989,0.003653829,1.247,48.979
GC,2022,LL,g,9,424,0.1388,245,150,0,0,0,0,0,0
GC,2022,LL,m,8,425,0.1398,107,10,0.12,0.03,1.366,0.009,0.51,23.191
GC,2021,MWF,M,11,426,0.3183,252,165,0.174,0.004,0.765,0.003653829,1.081,11.618
GC,2021,LL,m,1,427,0.4183,281,210,0.177,0.003,0.846,0.003653829,0.784,13.121
BG,2021,LNSU,m,1,428,0.3275,229,115,0.211,0.02,2.033,0.003653829,0.742,36.105
BG,2021,MWF,m,5,429,0.3416,282,260,0.123,0.003,1.002,0.003653829,0.878,12.484
BG,2021,LL,m,6,430,0.2805,287,255,0.272,0.0015,0.5985,0.003,0.522,9.773
BG,2021,mwf,m,2,431,0.2066,170,45,0.224,0.015,0.959,0.043,0.809,14.91
BG,2021,MWF,m,4,432,0.2966,385,660,0.184,0.009,0.58,0.009,0.583,12.793
BG,2021,MWF,g,15,433,0.1249,534,1700,0.168,0.096,0.894,0.162,2.229,22.46
BG,2021,LL,m,4,434,0.2944,310,325,0.241,0.003,0.661,0.003653829,0.492,11.835
BG,2021,LL,l,1,435,0.1206,235,155,0,0,0,0,0,0
BG,2021,LSSU,g,8,436,0.4101,478,1195,0.521,0.121,7.354,0.614,1.621,70.927
BG,2021,lssu,m,8,437,0.3942,478,1195,0.152,0.004,0.791,0.018,0.611,20.51
BG,2021,LNSU,g,2,438,0.0527,245,160,0.17,0.051,1.875,0.145,0.254,14.229
GC,2021,MWF,l,11,439,0.0937,252,165,0.089,0.109,2.608,0.021,3.734,21.437
GC,2021,MWF,m,10,440,0.3524,258,185,0.159,0.008,0.945,0.003653829,0.64,14.49
GC,2021,LL,g,14,441,0.1156,423,625,0.246,0.097,2.219,0.486,0.709,57.331
GC,2021,MWF,g,1,442,0.0748,307,325,0.067,0.057,0.561,0.098,1.527,17.186
GC,2021,MWF,m,14,443,0.2941,390,715,0.117,0.007,0.689,0.009,0.517,7.962
GC,2021,LL,l,14,447,0.0831,423,625,0,0,0,0,0,0
BG,2021,LL,l,4,449,0.0823,310,325,0,0,0,0,0,0
GC,2021,LL,l,11,505,0.1437,377,525,0,0,0,0,0,0
BG,2021,LL,l,6,513,0.1543,287,255,0,0,0,0,0,0
GC,2022,LL,g,14,522,0.0501,156,10,0.038,0.011,0.723,0.049,0.749,20.243
GC,2021,LNDC,wb,1,523,0.0955,32,48,0.19,0.12,2.888,0.189,0.353,39.219
GC,2021,LNDC,wb,2,524,0.143,42,83,0.247,0.174,2.945,0.157,0.464,46.072
GC,2021,LNSU,m,1,525,0.4282,,,0.351,0.101,2.218,0.076,0.7,43.616
GC,2021,LSSU,wb,2,526,0.0657,38,0.47,0.503,0.033,3.723,0.383,0.23,19.653
GC,2021,RSSH,wb,1,527,0.0157,na,0.06,0.023,0.016,0.41,0.081,0.058,4.554
GC,2021,LL,na,101,528,0.1188,,,0,0,0,0,0,0
BG,2022,LSSU,g,2,529,0.1503,430,880,0.257,0.12,1.7,0.133,0.554,30.426
BG,2021,MWF,m,1,530,0.3073,312,365,0.178,0.004,0.776,0.003653829,0.523,9.254
BG,2021,LL,g,3,531,0.1295,246,165,0,0,0,0,0,0
BG,2021,LNSU,l,2,532,0.0309,245,160,0.094,0.058,4.695,0.016,0.208,9.402
BG,2021,LNSU,L,1,533,0.0996,229,115,0.546,0.087,7.087,0.917,0.376,37.405
BG,2021,LL,m,1,534,0.3084,235,155,0.197,0.003,0.634,0.008,0.78,10.754
BG,2021,LL,m,9,535,0.3013,280,230,0.55,0.003,0.625,0.012,0.64,10.798
BG,2022,LSSU,g,8,536,0.1295,430,880,0.153,0.032,1.216,0.114,0.424,20.158
GC,2021,LSSU,wb,1,537,0.0703,36,0.3,0.467,0.035,3.278,0.364,0.221,18.785
GC,2021,MWF,l,11,538,0.1307,252,165,0.145,0.082,2.093,0.014,3.644,35.215
GC,2021,LL,m,11,539,0.4481,377,525,0.572,0.004,0.894,0.003653829,0.97,13.648
GC,2021,LNSU,m,2,540,0.2266,,,0.522,0.036,3.285,0.02,0.668,24.932
GC,2021,LL,g,10,541,0.121,369,495,0,0,0,0,0,0
