Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
218,DL,2022,MWF,l,2,262,200,0.0685,0.18,0.103,3.266,0.037,2.035,35.503
219,DL,2022,MWF,m,3,431,860,0.0534,0.174,0.003,0.575,0.003653829,0.406,8.834
220,DL,2022,MWF,g,3,431,860,0.1404,0.092,0.04,0.365,0.046,0.733,14.367
221,DL,2022,MWF,l,3,431,860,0.0511,0.141,0.001039416,0.74,0.01,0.787,10.972
222,DL,2022,MWF,g,4,438,820,0.0773,0.099,0.05,2.672,0.016,3.148,35.308
223,DL,2022,MWF,m,4,438,820,0.0869,0.197,0.009,0.78,0.003653829,0.511,10.168
224,DL,2022,MWF,l,4,438,820,0.0842,0.132,0.092,0.958,0.164,1.818,21.099
225,DL,2022,MWF,m,5,362,500,0.1027,0.084,0.238,1.705,0.042,0.999,16.306
226,DL,2022,MWF,l,5,362,500,0.0972,0.299,0.034,1.092,0.338,0.324,13.581
227,DL,2022,MWF,g,5,362,500,0.0797,0.474,0.007,0.663,0.009,0.432,19.64
228,DL,2022,LSSU,m,1,612,2640,0.1454,5.932,1.014,6.235,0.076,1.496,37.39
229,DL,2022,LSSU,l,1,612,2640,0.0897,0.125,0.007,0.546,0.003653829,0.464,10.395
230,DL,2022,LSSU,g,1,612,2640,0.1337,0.096,0.093,1.147,0.014,0.989,13.568
231,DL,2022,LSSU,g,2,583,1980,0.1053,0.21,0.059,0.681,0.101,0.913,20.123
232,DL,2022,LSSU,m,2,583,1980,0.1422,0.627,0.006,1.168,0.038,0.741,14.108
233,DL,2022,LSSU,g,3,460,1045,0.0627,0.895,0.562,5.719,0.051,0.804,23.051
234,DL,2022,LSSU,m,3,460,1045,0.803,1.62,0.053,2.779,0.459,0.657,15.615
235,DL,2022,LSSU,l,4,488,1425,0.1455,0.856,0.122,1.468,0.361,0.27,20.834
236,DL,2022,LSSU,m,4,488,1425,0.0962,0.004092183,0.001039416,0.044439138,0.003653829,0.008455667,0.320620712
237,DL,2022,LSSU,g,4,488,1425,0.0962,0.403,0.033,1.749,0.231,0.422,18.528
238,DL,2022,LSSU,m,5,520,1615,0.4187,0.393,0.005,1.069,0.016,0.681,22.606
239,DL,2022,LSSU,g,5,520,1615,0.2029,0.294,0.608,23.945,0.06,0.812,49.965
240,GC,2022,MWF,m,1,405,690,0.2618,0.143,0.004,0.772,0.008,0.369,13.284
241,GC,2022,MWF,l,8,330,370,0.3536,0.157,0.028,1.379,0.187,0.394,17.156
242,GC,2022,MWF,g,1,405,690,0.3128,0.404,0.003,0.59,0.003653829,1.074,15.491
243,GC,2022,MWF,m,8,330,370,0.4414,0.414,0.003,0.54,0.003653829,1.039,15.008
244,GC,2022,MWF,l,1,405,690,0.4281,0.913,0.037,3.941,0.604,0.51,25.057
245,GC,2022,MWF,g,15,244,155,0.3905,0.127,0.008,0.502,0.01,0.436,7.58
246,GC,2022,MWF,l,15,244,155,0.3463,1.063,1.059,1.059,1.13,1.146,6.532
247,GC,2022,MWF,m,3,250,145,0.3825,0.091,0.056,0.457,0.081,0.89,11.329
248,GC,2022,MWF,g,3,250,145,0.3655,0.2,0.003,0.731,0.003653829,0.547,14.754
249,GC,2022,MWF,l,3,250,145,0.4186,0.226,0.333,3.131,0.076,2.752,31.645
250,GC,2022,MWF,m,15,244,155,0.4203,0.053,0.025,0.374,0.039,1.663,15.433
301,GC,2022,MWF,g,8,330,370,0.0355,0.116,0.056,1.284,0.009,0.905,12.587
302,GC,2022,MWF,m,9,426,835,0.0416,0.143,0.003,0.842,0.003653829,0.828,15.127
303,GC,2022,MWF,l,9,426,835,0.0292,0.037,0.024,0.395,0.031,1.517,12.613
304,GC,2022,MWF,g,9,426,835,0.2257,0.217,0.039,1.749,0.012,1.457,32.852
